FILENAME,CLASS,SPLIT
Galaxy10_DECals-dataset-00000,0,train
Galaxy10_DECals-dataset-00001,0,train
Galaxy10_DECals-dataset-00002,0,train
Galaxy10_DECals-dataset-00003,0,train
Galaxy10_DECals-dataset-00004,0,train
Galaxy10_DECals-dataset-00005,0,train
Galaxy10_DECals-dataset-00006,0,train
Galaxy10_DECals-dataset-00007,0,train
Galaxy10_DECals-dataset-00008,0,train
Galaxy10_DECals-dataset-00009,0,train
Galaxy10_DECals-dataset-00010,0,train
Galaxy10_DECals-dataset-00011,0,train
Galaxy10_DECals-dataset-00012,0,train
Galaxy10_DECals-dataset-00013,0,train
Galaxy10_DECals-dataset-00014,0,train
Galaxy10_DECals-dataset-00015,0,train
Galaxy10_DECals-dataset-00016,0,train
Galaxy10_DECals-dataset-00017,0,train
Galaxy10_DECals-dataset-00018,0,train
Galaxy10_DECals-dataset-00019,0,train
Galaxy10_DECals-dataset-00020,0,train
Galaxy10_DECals-dataset-00021,0,train
Galaxy10_DECals-dataset-00022,0,train
Galaxy10_DECals-dataset-00023,0,train
Galaxy10_DECals-dataset-00024,0,train
Galaxy10_DECals-dataset-00025,0,train
Galaxy10_DECals-dataset-00026,0,train
Galaxy10_DECals-dataset-00027,0,train
Galaxy10_DECals-dataset-00028,0,train
Galaxy10_DECals-dataset-00029,0,train
Galaxy10_DECals-dataset-00030,0,train
Galaxy10_DECals-dataset-00031,0,train
Galaxy10_DECals-dataset-00032,0,train
Galaxy10_DECals-dataset-00033,0,train
Galaxy10_DECals-dataset-00034,0,train
Galaxy10_DECals-dataset-00035,0,train
Galaxy10_DECals-dataset-00036,0,train
Galaxy10_DECals-dataset-00037,0,train
Galaxy10_DECals-dataset-00038,0,train
Galaxy10_DECals-dataset-00039,0,train
Galaxy10_DECals-dataset-00040,0,train
Galaxy10_DECals-dataset-00041,0,train
Galaxy10_DECals-dataset-00042,0,train
Galaxy10_DECals-dataset-00043,0,train
Galaxy10_DECals-dataset-00044,0,train
Galaxy10_DECals-dataset-00045,0,train
Galaxy10_DECals-dataset-00046,0,train
Galaxy10_DECals-dataset-00047,0,train
Galaxy10_DECals-dataset-00048,0,train
Galaxy10_DECals-dataset-00049,0,train
Galaxy10_DECals-dataset-00050,0,train
Galaxy10_DECals-dataset-00051,0,train
