FILENAME,CLASS,LABEL
Galaxy10_DECals-dataset-00755,0,3
Galaxy10_DECals-dataset-00756,0,3
Galaxy10_DECals-dataset-00757,0,3
Galaxy10_DECals-dataset-00759,0,7
Galaxy10_DECals-dataset-00760,0,7
Galaxy10_DECals-dataset-00761,0,5
Galaxy10_DECals-dataset-00762,0,3
Galaxy10_DECals-dataset-00763,0,7
Galaxy10_DECals-dataset-00764,0,7
Galaxy10_DECals-dataset-00765,0,3
Galaxy10_DECals-dataset-00766,0,2
Galaxy10_DECals-dataset-00767,0,7
Galaxy10_DECals-dataset-00768,0,5
Galaxy10_DECals-dataset-00770,0,7
Galaxy10_DECals-dataset-00771,0,7
Galaxy10_DECals-dataset-00772,0,2
Galaxy10_DECals-dataset-00773,0,5
Galaxy10_DECals-dataset-00775,0,2
Galaxy10_DECals-dataset-00776,0,3
Galaxy10_DECals-dataset-00777,0,5
Galaxy10_DECals-dataset-00778,0,7
Galaxy10_DECals-dataset-00779,0,3
Galaxy10_DECals-dataset-00780,0,9
Galaxy10_DECals-dataset-00781,0,8
Galaxy10_DECals-dataset-00782,0,2
Galaxy10_DECals-dataset-00783,0,7
Galaxy10_DECals-dataset-00784,0,3
Galaxy10_DECals-dataset-00785,0,3
Galaxy10_DECals-dataset-00786,0,5
Galaxy10_DECals-dataset-00787,0,2
Galaxy10_DECals-dataset-00788,0,6
Galaxy10_DECals-dataset-00789,0,3
Galaxy10_DECals-dataset-00790,0,7
Galaxy10_DECals-dataset-00791,0,7
Galaxy10_DECals-dataset-00792,0,7
Galaxy10_DECals-dataset-00793,0,2
Galaxy10_DECals-dataset-00794,0,3
Galaxy10_DECals-dataset-00795,0,2
Galaxy10_DECals-dataset-00796,0,2
Galaxy10_DECals-dataset-00797,0,7
Galaxy10_DECals-dataset-00798,0,7
Galaxy10_DECals-dataset-00799,0,7
Galaxy10_DECals-dataset-00800,0,5
Galaxy10_DECals-dataset-00801,0,7
Galaxy10_DECals-dataset-00802,0,5
Galaxy10_DECals-dataset-00803,0,3
Galaxy10_DECals-dataset-00804,0,2
Galaxy10_DECals-dataset-00805,0,2
Galaxy10_DECals-dataset-00807,0,3
Galaxy10_DECals-dataset-00808,0,3
