----------------------------------
Dataset shape: 17733 elements     |
----------------------------------
Training set length: 8876         |
Validation set length: 3552       |
Test set length: 5305             |
----------------------------------
Class | Train | Validation | Test |
----------------------------------
  0   |  539  |    216     | 326  |
  1   |  927  |    372     | 554  |
  2   |  1323 |    530     | 792  |
  3   |  1015 |    405     | 607  |
  4   |  168  |    67      | 99   |
  5   |  1023 |    409     | 611  |
  6   |  916  |    367     | 545  |
  7   |  1314 |    526     | 787  |
  8   |  713  |    285     | 424  |
  9   |  938  |    375     | 560  |
----------------------------------

----------------------------------
           TRAINING MODE          |
----------------------------------

Experiment ID: densenet161-all|epochs=50|batch_size=32|learning_rate=0.0001|step_size=10|gamma=0.1|momentum=0.9|criterion=CrossEntropyLoss|optimizer=Adam 

EPOCH: 1
... training ...
>>> epoch 1: batch 1 / 277 | Loss: 2.31 | Precision: 0.00 | Recall: 0.03 | F1: 0.00 | Correct: 1 | Time: 1 s 
>>> epoch 1: batch 2 / 277 | Loss: 2.30 | Precision: 0.25 | Recall: 0.09 | F1: 0.10 | Correct: 3 | Time: 0 s 
>>> epoch 1: batch 3 / 277 | Loss: 2.30 | Precision: 0.35 | Recall: 0.16 | F1: 0.14 | Correct: 5 | Time: 0 s 
>>> epoch 1: batch 4 / 277 | Loss: 2.30 | Precision: 0.41 | Recall: 0.09 | F1: 0.15 | Correct: 3 | Time: 0 s 
>>> epoch 1: batch 5 / 277 | Loss: 2.28 | Precision: 0.21 | Recall: 0.16 | F1: 0.15 | Correct: 5 | Time: 0 s 
>>> epoch 1: batch 6 / 277 | Loss: 2.28 | Precision: 0.26 | Recall: 0.31 | F1: 0.26 | Correct: 10 | Time: 0 s 
>>> epoch 1: batch 7 / 277 | Loss: 2.26 | Precision: 0.23 | Recall: 0.31 | F1: 0.26 | Correct: 10 | Time: 0 s 
>>> epoch 1: batch 8 / 277 | Loss: 2.24 | Precision: 0.51 | Recall: 0.44 | F1: 0.40 | Correct: 14 | Time: 0 s 
>>> epoch 1: batch 9 / 277 | Loss: 2.22 | Precision: 0.66 | Recall: 0.56 | F1: 0.55 | Correct: 18 | Time: 0 s 
>>> epoch 1: batch 10 / 277 | Loss: 2.26 | Precision: 0.30 | Recall: 0.25 | F1: 0.25 | Correct: 8 | Time: 0 s 
>>> epoch 1: batch 11 / 277 | Loss: 2.23 | Precision: 0.36 | Recall: 0.38 | F1: 0.34 | Correct: 12 | Time: 0 s 
>>> epoch 1: batch 12 / 277 | Loss: 2.19 | Precision: 0.39 | Recall: 0.41 | F1: 0.35 | Correct: 13 | Time: 0 s 
