----------------------------------
Dataset shape: 15800 elements     |
----------------------------------
Training set length: 7982         |
Validation set length: 3107       |
Test set length: 4711             |
----------------------------------
Class | Train | Validation | Test |
----------------------------------
  0   |  3078  |    1145     | 1784  |
  1   |  3253  |    1302     | 1943  |
  2   |  1651 |    660     | 984  |
  3   |  0 |    0     | 0  |
  4   |  0  |    0      | 0   |
  5   |  0 |    0     | 0  |
  6   |  0  |    0     | 0  |
  7   |  0 |    0     | 0  |
  8   |  0  |    0     | 0  |
  9   |  0  |    0     | 0  |
----------------------------------

----------------------------------
           TRAINING MODE          |
----------------------------------

Experiment ID: resnet50-all-3-augmented|epochs=30|batch_size=24|learning_rate=0.0001|step_size=10|gamma=0.1|momentum=0.9|criterion=FocalLoss|optimizer=Adam 

EPOCH: 1
... training ...
>>> epoch 1: batch 1 / 333 | Loss: 0.50 | Precision: 0.11 | Recall: 0.17 | F1: 0.13 | Correct: 4 | Time: 1 s 
>>> epoch 1: batch 2 / 333 | Loss: 0.46 | Precision: 0.25 | Recall: 0.29 | F1: 0.27 | Correct: 7 | Time: 0 s 
>>> epoch 1: batch 3 / 333 | Loss: 0.46 | Precision: 0.37 | Recall: 0.38 | F1: 0.37 | Correct: 9 | Time: 0 s 
>>> epoch 1: batch 4 / 333 | Loss: 0.44 | Precision: 0.73 | Recall: 0.67 | F1: 0.68 | Correct: 16 | Time: 0 s 
>>> epoch 1: batch 5 / 333 | Loss: 0.44 | Precision: 0.64 | Recall: 0.62 | F1: 0.63 | Correct: 15 | Time: 0 s 
>>> epoch 1: batch 6 / 333 | Loss: 0.39 | Precision: 0.75 | Recall: 0.75 | F1: 0.74 | Correct: 18 | Time: 0 s 
>>> epoch 1: batch 7 / 333 | Loss: 0.39 | Precision: 0.69 | Recall: 0.58 | F1: 0.60 | Correct: 14 | Time: 0 s 
>>> epoch 1: batch 8 / 333 | Loss: 0.35 | Precision: 0.88 | Recall: 0.83 | F1: 0.84 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 9 / 333 | Loss: 0.29 | Precision: 0.88 | Recall: 0.88 | F1: 0.87 | Correct: 21 | Time: 0 s 
>>> epoch 1: batch 10 / 333 | Loss: 0.35 | Precision: 0.83 | Recall: 0.71 | F1: 0.75 | Correct: 17 | Time: 0 s 
>>> epoch 1: batch 11 / 333 | Loss: 0.27 | Precision: 0.85 | Recall: 0.83 | F1: 0.83 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 12 / 333 | Loss: 0.25 | Precision: 0.87 | Recall: 0.83 | F1: 0.84 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 13 / 333 | Loss: 0.34 | Precision: 0.72 | Recall: 0.71 | F1: 0.71 | Correct: 17 | Time: 0 s 
>>> epoch 1: batch 14 / 333 | Loss: 0.33 | Precision: 0.67 | Recall: 0.67 | F1: 0.67 | Correct: 16 | Time: 0 s 
>>> epoch 1: batch 15 / 333 | Loss: 0.25 | Precision: 0.91 | Recall: 0.88 | F1: 0.88 | Correct: 21 | Time: 0 s 
>>> epoch 1: batch 16 / 333 | Loss: 0.28 | Precision: 0.81 | Recall: 0.79 | F1: 0.79 | Correct: 19 | Time: 0 s 
>>> epoch 1: batch 17 / 333 | Loss: 0.31 | Precision: 0.80 | Recall: 0.79 | F1: 0.79 | Correct: 19 | Time: 0 s 
>>> epoch 1: batch 18 / 333 | Loss: 0.20 | Precision: 0.89 | Recall: 0.88 | F1: 0.88 | Correct: 21 | Time: 0 s 
>>> epoch 1: batch 19 / 333 | Loss: 0.32 | Precision: 0.77 | Recall: 0.71 | F1: 0.73 | Correct: 17 | Time: 0 s 
>>> epoch 1: batch 20 / 333 | Loss: 0.18 | Precision: 0.93 | Recall: 0.92 | F1: 0.92 | Correct: 22 | Time: 0 s 
>>> epoch 1: batch 21 / 333 | Loss: 0.28 | Precision: 0.78 | Recall: 0.75 | F1: 0.74 | Correct: 18 | Time: 0 s 
>>> epoch 1: batch 22 / 333 | Loss: 0.19 | Precision: 0.91 | Recall: 0.88 | F1: 0.88 | Correct: 21 | Time: 0 s 
>>> epoch 1: batch 23 / 333 | Loss: 0.19 | Precision: 0.96 | Recall: 0.92 | F1: 0.93 | Correct: 22 | Time: 0 s 
>>> epoch 1: batch 24 / 333 | Loss: 0.29 | Precision: 0.79 | Recall: 0.79 | F1: 0.79 | Correct: 19 | Time: 0 s 
>>> epoch 1: batch 25 / 333 | Loss: 0.25 | Precision: 0.88 | Recall: 0.75 | F1: 0.77 | Correct: 18 | Time: 0 s 
>>> epoch 1: batch 26 / 333 | Loss: 0.27 | Precision: 0.83 | Recall: 0.75 | F1: 0.76 | Correct: 18 | Time: 0 s 
>>> epoch 1: batch 27 / 333 | Loss: 0.23 | Precision: 0.93 | Recall: 0.88 | F1: 0.89 | Correct: 21 | Time: 0 s 
>>> epoch 1: batch 28 / 333 | Loss: 0.17 | Precision: 0.93 | Recall: 0.92 | F1: 0.92 | Correct: 22 | Time: 0 s 
>>> epoch 1: batch 29 / 333 | Loss: 0.21 | Precision: 0.89 | Recall: 0.88 | F1: 0.88 | Correct: 21 | Time: 0 s 
>>> epoch 1: batch 30 / 333 | Loss: 0.20 | Precision: 0.85 | Recall: 0.83 | F1: 0.84 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 31 / 333 | Loss: 0.19 | Precision: 0.93 | Recall: 0.92 | F1: 0.92 | Correct: 22 | Time: 0 s 
>>> epoch 1: batch 32 / 333 | Loss: 0.19 | Precision: 0.93 | Recall: 0.92 | F1: 0.92 | Correct: 22 | Time: 0 s 
>>> epoch 1: batch 33 / 333 | Loss: 0.22 | Precision: 0.81 | Recall: 0.79 | F1: 0.80 | Correct: 19 | Time: 0 s 
>>> epoch 1: batch 34 / 333 | Loss: 0.23 | Precision: 0.90 | Recall: 0.83 | F1: 0.84 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 35 / 333 | Loss: 0.20 | Precision: 0.91 | Recall: 0.88 | F1: 0.87 | Correct: 21 | Time: 0 s 
>>> epoch 1: batch 36 / 333 | Loss: 0.22 | Precision: 0.88 | Recall: 0.83 | F1: 0.83 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 37 / 333 | Loss: 0.25 | Precision: 0.75 | Recall: 0.75 | F1: 0.74 | Correct: 18 | Time: 0 s 
>>> epoch 1: batch 38 / 333 | Loss: 0.19 | Precision: 0.93 | Recall: 0.92 | F1: 0.92 | Correct: 22 | Time: 0 s 
>>> epoch 1: batch 39 / 333 | Loss: 0.30 | Precision: 0.81 | Recall: 0.75 | F1: 0.75 | Correct: 18 | Time: 0 s 
>>> epoch 1: batch 40 / 333 | Loss: 0.22 | Precision: 0.91 | Recall: 0.88 | F1: 0.88 | Correct: 21 | Time: 0 s 
>>> epoch 1: batch 41 / 333 | Loss: 0.18 | Precision: 0.87 | Recall: 0.88 | F1: 0.87 | Correct: 21 | Time: 0 s 
>>> epoch 1: batch 42 / 333 | Loss: 0.15 | Precision: 0.96 | Recall: 0.96 | F1: 0.96 | Correct: 23 | Time: 0 s 
