----------------------------------
Dataset shape: 14799 elements     |
----------------------------------
Training set length: 7403         |
Validation set length: 2960       |
Test set length: 4436             |
----------------------------------
Class | Train | Validation | Test |
----------------------------------
  0   |  2504  |    1001     | 1501  |
  1   |  3250  |    1300     | 1948  |
  2   |  1649 |    659     | 987  |
  3   |  0 |    0     | 0  |
  4   |  0  |    0      | 0   |
  5   |  0 |    0     | 0  |
  6   |  0  |    0     | 0  |
  7   |  0 |    0     | 0  |
  8   |  0  |    0     | 0  |
  9   |  0  |    0     | 0  |
----------------------------------

----------------------------------
           TRAINING MODE          |
----------------------------------

Experiment ID: resnet50-all-3|epochs=30|batch_size=24|learning_rate=0.0001|step_size=10|gamma=0.1|momentum=0.9|criterion=CrossEntropyLoss|optimizer=Adam 

EPOCH: 1
... training ...
>>> epoch 1: batch 1 / 308 | Loss: 1.10 | Precision: 0.07 | Recall: 0.21 | F1: 0.11 | Correct: 5 | Time: 0 s 
>>> epoch 1: batch 2 / 308 | Loss: 1.05 | Precision: 0.61 | Recall: 0.58 | F1: 0.58 | Correct: 14 | Time: 0 s 
>>> epoch 1: batch 3 / 308 | Loss: 0.99 | Precision: 0.76 | Recall: 0.75 | F1: 0.75 | Correct: 18 | Time: 0 s 
>>> epoch 1: batch 4 / 308 | Loss: 1.03 | Precision: 0.84 | Recall: 0.58 | F1: 0.61 | Correct: 14 | Time: 0 s 
>>> epoch 1: batch 5 / 308 | Loss: 0.90 | Precision: 0.81 | Recall: 0.79 | F1: 0.79 | Correct: 19 | Time: 0 s 
>>> epoch 1: batch 6 / 308 | Loss: 0.95 | Precision: 0.69 | Recall: 0.62 | F1: 0.64 | Correct: 15 | Time: 0 s 
>>> epoch 1: batch 7 / 308 | Loss: 0.91 | Precision: 0.78 | Recall: 0.75 | F1: 0.75 | Correct: 18 | Time: 0 s 
>>> epoch 1: batch 8 / 308 | Loss: 0.89 | Precision: 0.71 | Recall: 0.71 | F1: 0.70 | Correct: 17 | Time: 0 s 
>>> epoch 1: batch 9 / 308 | Loss: 0.79 | Precision: 0.86 | Recall: 0.83 | F1: 0.83 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 10 / 308 | Loss: 0.78 | Precision: 0.85 | Recall: 0.79 | F1: 0.80 | Correct: 19 | Time: 0 s 
>>> epoch 1: batch 11 / 308 | Loss: 0.77 | Precision: 0.75 | Recall: 0.75 | F1: 0.75 | Correct: 18 | Time: 0 s 
>>> epoch 1: batch 12 / 308 | Loss: 0.66 | Precision: 0.93 | Recall: 0.92 | F1: 0.92 | Correct: 22 | Time: 0 s 
>>> epoch 1: batch 13 / 308 | Loss: 0.69 | Precision: 0.93 | Recall: 0.92 | F1: 0.92 | Correct: 22 | Time: 0 s 
>>> epoch 1: batch 14 / 308 | Loss: 0.70 | Precision: 0.90 | Recall: 0.88 | F1: 0.87 | Correct: 21 | Time: 0 s 
>>> epoch 1: batch 15 / 308 | Loss: 0.72 | Precision: 0.92 | Recall: 0.88 | F1: 0.88 | Correct: 21 | Time: 0 s 
>>> epoch 1: batch 16 / 308 | Loss: 0.69 | Precision: 0.88 | Recall: 0.88 | F1: 0.88 | Correct: 21 | Time: 0 s 
>>> epoch 1: batch 17 / 308 | Loss: 0.61 | Precision: 0.96 | Recall: 0.96 | F1: 0.96 | Correct: 23 | Time: 0 s 
>>> epoch 1: batch 18 / 308 | Loss: 0.60 | Precision: 0.96 | Recall: 0.96 | F1: 0.96 | Correct: 23 | Time: 0 s 
>>> epoch 1: batch 19 / 308 | Loss: 0.65 | Precision: 0.93 | Recall: 0.92 | F1: 0.91 | Correct: 22 | Time: 0 s 
>>> epoch 1: batch 20 / 308 | Loss: 0.72 | Precision: 0.86 | Recall: 0.83 | F1: 0.84 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 21 / 308 | Loss: 0.57 | Precision: 1.00 | Recall: 1.00 | F1: 1.00 | Correct: 24 | Time: 0 s 
>>> epoch 1: batch 22 / 308 | Loss: 0.66 | Precision: 0.94 | Recall: 0.92 | F1: 0.92 | Correct: 22 | Time: 0 s 
>>> epoch 1: batch 23 / 308 | Loss: 0.70 | Precision: 0.93 | Recall: 0.88 | F1: 0.89 | Correct: 21 | Time: 0 s 
>>> epoch 1: batch 24 / 308 | Loss: 0.65 | Precision: 0.93 | Recall: 0.92 | F1: 0.92 | Correct: 22 | Time: 0 s 
>>> epoch 1: batch 25 / 308 | Loss: 0.57 | Precision: 1.00 | Recall: 1.00 | F1: 1.00 | Correct: 24 | Time: 0 s 
>>> epoch 1: batch 26 / 308 | Loss: 0.68 | Precision: 0.92 | Recall: 0.88 | F1: 0.88 | Correct: 21 | Time: 0 s 
>>> epoch 1: batch 27 / 308 | Loss: 0.57 | Precision: 1.00 | Recall: 1.00 | F1: 1.00 | Correct: 24 | Time: 0 s 
>>> epoch 1: batch 28 / 308 | Loss: 0.57 | Precision: 1.00 | Recall: 1.00 | F1: 1.00 | Correct: 24 | Time: 0 s 
>>> epoch 1: batch 29 / 308 | Loss: 0.63 | Precision: 0.92 | Recall: 0.92 | F1: 0.92 | Correct: 22 | Time: 0 s 
>>> epoch 1: batch 30 / 308 | Loss: 0.72 | Precision: 0.83 | Recall: 0.83 | F1: 0.83 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 31 / 308 | Loss: 0.62 | Precision: 0.96 | Recall: 0.96 | F1: 0.96 | Correct: 23 | Time: 0 s 
>>> epoch 1: batch 32 / 308 | Loss: 0.74 | Precision: 0.89 | Recall: 0.83 | F1: 0.84 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 33 / 308 | Loss: 0.71 | Precision: 0.88 | Recall: 0.83 | F1: 0.83 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 34 / 308 | Loss: 0.62 | Precision: 0.96 | Recall: 0.96 | F1: 0.96 | Correct: 23 | Time: 0 s 
>>> epoch 1: batch 35 / 308 | Loss: 0.65 | Precision: 0.96 | Recall: 0.92 | F1: 0.93 | Correct: 22 | Time: 0 s 
>>> epoch 1: batch 36 / 308 | Loss: 0.65 | Precision: 0.92 | Recall: 0.92 | F1: 0.92 | Correct: 22 | Time: 0 s 
>>> epoch 1: batch 37 / 308 | Loss: 0.78 | Precision: 0.87 | Recall: 0.79 | F1: 0.80 | Correct: 19 | Time: 0 s 
>>> epoch 1: batch 38 / 308 | Loss: 0.81 | Precision: 0.88 | Recall: 0.75 | F1: 0.73 | Correct: 18 | Time: 0 s 
>>> epoch 1: batch 39 / 308 | Loss: 0.90 | Precision: 0.84 | Recall: 0.71 | F1: 0.66 | Correct: 17 | Time: 0 s 
>>> epoch 1: batch 40 / 308 | Loss: 0.84 | Precision: 0.76 | Recall: 0.71 | F1: 0.70 | Correct: 17 | Time: 0 s 
>>> epoch 1: batch 41 / 308 | Loss: 0.71 | Precision: 0.84 | Recall: 0.83 | F1: 0.83 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 42 / 308 | Loss: 0.68 | Precision: 0.90 | Recall: 0.88 | F1: 0.87 | Correct: 21 | Time: 0 s 
>>> epoch 1: batch 43 / 308 | Loss: 0.94 | Precision: 0.82 | Recall: 0.62 | F1: 0.62 | Correct: 15 | Time: 0 s 
>>> epoch 1: batch 44 / 308 | Loss: 0.70 | Precision: 0.88 | Recall: 0.88 | F1: 0.88 | Correct: 21 | Time: 0 s 
>>> epoch 1: batch 45 / 308 | Loss: 0.65 | Precision: 0.90 | Recall: 0.88 | F1: 0.87 | Correct: 21 | Time: 0 s 
>>> epoch 1: batch 46 / 308 | Loss: 0.73 | Precision: 0.89 | Recall: 0.83 | F1: 0.84 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 47 / 308 | Loss: 0.64 | Precision: 0.94 | Recall: 0.92 | F1: 0.92 | Correct: 22 | Time: 0 s 
>>> epoch 1: batch 48 / 308 | Loss: 0.80 | Precision: 0.79 | Recall: 0.75 | F1: 0.75 | Correct: 18 | Time: 0 s 
>>> epoch 1: batch 49 / 308 | Loss: 0.63 | Precision: 0.93 | Recall: 0.92 | F1: 0.92 | Correct: 22 | Time: 0 s 
>>> epoch 1: batch 50 / 308 | Loss: 0.82 | Precision: 0.78 | Recall: 0.75 | F1: 0.74 | Correct: 18 | Time: 0 s 
>>> epoch 1: batch 51 / 308 | Loss: 0.74 | Precision: 0.88 | Recall: 0.79 | F1: 0.79 | Correct: 19 | Time: 0 s 
>>> epoch 1: batch 52 / 308 | Loss: 0.66 | Precision: 0.93 | Recall: 0.92 | F1: 0.92 | Correct: 22 | Time: 0 s 
>>> epoch 1: batch 53 / 308 | Loss: 0.74 | Precision: 0.96 | Recall: 0.83 | F1: 0.88 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 54 / 308 | Loss: 0.74 | Precision: 0.84 | Recall: 0.79 | F1: 0.79 | Correct: 19 | Time: 0 s 
>>> epoch 1: batch 55 / 308 | Loss: 0.67 | Precision: 0.89 | Recall: 0.88 | F1: 0.88 | Correct: 21 | Time: 0 s 
>>> epoch 1: batch 56 / 308 | Loss: 0.71 | Precision: 0.92 | Recall: 0.88 | F1: 0.88 | Correct: 21 | Time: 0 s 
>>> epoch 1: batch 57 / 308 | Loss: 0.65 | Precision: 0.97 | Recall: 0.96 | F1: 0.96 | Correct: 23 | Time: 0 s 
>>> epoch 1: batch 58 / 308 | Loss: 0.78 | Precision: 0.82 | Recall: 0.79 | F1: 0.79 | Correct: 19 | Time: 0 s 
>>> epoch 1: batch 59 / 308 | Loss: 0.77 | Precision: 0.86 | Recall: 0.79 | F1: 0.79 | Correct: 19 | Time: 0 s 
>>> epoch 1: batch 60 / 308 | Loss: 0.74 | Precision: 0.88 | Recall: 0.83 | F1: 0.83 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 61 / 308 | Loss: 0.56 | Precision: 1.00 | Recall: 1.00 | F1: 1.00 | Correct: 24 | Time: 0 s 
>>> epoch 1: batch 62 / 308 | Loss: 0.69 | Precision: 0.79 | Recall: 0.79 | F1: 0.79 | Correct: 19 | Time: 0 s 
>>> epoch 1: batch 63 / 308 | Loss: 0.59 | Precision: 0.96 | Recall: 0.96 | F1: 0.96 | Correct: 23 | Time: 0 s 
>>> epoch 1: batch 64 / 308 | Loss: 0.68 | Precision: 0.88 | Recall: 0.88 | F1: 0.88 | Correct: 21 | Time: 0 s 
>>> epoch 1: batch 65 / 308 | Loss: 0.63 | Precision: 0.93 | Recall: 0.92 | F1: 0.91 | Correct: 22 | Time: 0 s 
>>> epoch 1: batch 66 / 308 | Loss: 0.71 | Precision: 0.87 | Recall: 0.83 | F1: 0.84 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 67 / 308 | Loss: 0.61 | Precision: 0.97 | Recall: 0.96 | F1: 0.96 | Correct: 23 | Time: 0 s 
>>> epoch 1: batch 68 / 308 | Loss: 0.69 | Precision: 0.94 | Recall: 0.88 | F1: 0.89 | Correct: 21 | Time: 0 s 
>>> epoch 1: batch 69 / 308 | Loss: 0.76 | Precision: 0.83 | Recall: 0.79 | F1: 0.80 | Correct: 19 | Time: 0 s 
>>> epoch 1: batch 70 / 308 | Loss: 0.62 | Precision: 0.97 | Recall: 0.96 | F1: 0.96 | Correct: 23 | Time: 0 s 
>>> epoch 1: batch 71 / 308 | Loss: 0.73 | Precision: 0.84 | Recall: 0.79 | F1: 0.80 | Correct: 19 | Time: 0 s 
>>> epoch 1: batch 72 / 308 | Loss: 0.59 | Precision: 0.96 | Recall: 0.96 | F1: 0.96 | Correct: 23 | Time: 0 s 
>>> epoch 1: batch 73 / 308 | Loss: 0.56 | Precision: 1.00 | Recall: 1.00 | F1: 1.00 | Correct: 24 | Time: 0 s 
>>> epoch 1: batch 74 / 308 | Loss: 0.64 | Precision: 0.92 | Recall: 0.92 | F1: 0.92 | Correct: 22 | Time: 0 s 
>>> epoch 1: batch 75 / 308 | Loss: 0.62 | Precision: 0.94 | Recall: 0.92 | F1: 0.92 | Correct: 22 | Time: 0 s 
>>> epoch 1: batch 76 / 308 | Loss: 0.71 | Precision: 0.85 | Recall: 0.83 | F1: 0.84 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 77 / 308 | Loss: 0.64 | Precision: 0.92 | Recall: 0.92 | F1: 0.91 | Correct: 22 | Time: 0 s 
>>> epoch 1: batch 78 / 308 | Loss: 0.60 | Precision: 0.96 | Recall: 0.96 | F1: 0.96 | Correct: 23 | Time: 0 s 
>>> epoch 1: batch 79 / 308 | Loss: 0.77 | Precision: 0.81 | Recall: 0.79 | F1: 0.79 | Correct: 19 | Time: 0 s 
>>> epoch 1: batch 80 / 308 | Loss: 0.67 | Precision: 0.92 | Recall: 0.92 | F1: 0.92 | Correct: 22 | Time: 0 s 
>>> epoch 1: batch 81 / 308 | Loss: 0.64 | Precision: 0.93 | Recall: 0.92 | F1: 0.91 | Correct: 22 | Time: 0 s 
>>> epoch 1: batch 82 / 308 | Loss: 0.60 | Precision: 0.96 | Recall: 0.96 | F1: 0.96 | Correct: 23 | Time: 0 s 
>>> epoch 1: batch 83 / 308 | Loss: 0.61 | Precision: 0.96 | Recall: 0.96 | F1: 0.96 | Correct: 23 | Time: 0 s 
>>> epoch 1: batch 84 / 308 | Loss: 0.61 | Precision: 0.96 | Recall: 0.96 | F1: 0.96 | Correct: 23 | Time: 0 s 
>>> epoch 1: batch 85 / 308 | Loss: 0.63 | Precision: 0.93 | Recall: 0.92 | F1: 0.92 | Correct: 22 | Time: 0 s 
>>> epoch 1: batch 86 / 308 | Loss: 0.72 | Precision: 0.89 | Recall: 0.83 | F1: 0.84 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 87 / 308 | Loss: 0.57 | Precision: 1.00 | Recall: 1.00 | F1: 1.00 | Correct: 24 | Time: 0 s 
>>> epoch 1: batch 88 / 308 | Loss: 0.66 | Precision: 0.90 | Recall: 0.88 | F1: 0.87 | Correct: 21 | Time: 0 s 
>>> epoch 1: batch 89 / 308 | Loss: 0.74 | Precision: 0.89 | Recall: 0.83 | F1: 0.84 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 90 / 308 | Loss: 0.65 | Precision: 0.93 | Recall: 0.92 | F1: 0.92 | Correct: 22 | Time: 0 s 
>>> epoch 1: batch 91 / 308 | Loss: 0.72 | Precision: 0.89 | Recall: 0.83 | F1: 0.84 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 92 / 308 | Loss: 0.64 | Precision: 0.94 | Recall: 0.92 | F1: 0.92 | Correct: 22 | Time: 0 s 
>>> epoch 1: batch 93 / 308 | Loss: 0.64 | Precision: 0.94 | Recall: 0.92 | F1: 0.92 | Correct: 22 | Time: 0 s 
>>> epoch 1: batch 94 / 308 | Loss: 0.64 | Precision: 0.92 | Recall: 0.92 | F1: 0.92 | Correct: 22 | Time: 0 s 
>>> epoch 1: batch 95 / 308 | Loss: 0.72 | Precision: 0.85 | Recall: 0.83 | F1: 0.84 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 96 / 308 | Loss: 0.61 | Precision: 0.96 | Recall: 0.96 | F1: 0.96 | Correct: 23 | Time: 0 s 
>>> epoch 1: batch 97 / 308 | Loss: 0.57 | Precision: 1.00 | Recall: 1.00 | F1: 1.00 | Correct: 24 | Time: 0 s 
>>> epoch 1: batch 98 / 308 | Loss: 0.74 | Precision: 0.80 | Recall: 0.79 | F1: 0.79 | Correct: 19 | Time: 0 s 
>>> epoch 1: batch 99 / 308 | Loss: 0.60 | Precision: 0.96 | Recall: 0.96 | F1: 0.96 | Correct: 23 | Time: 0 s 
>>> epoch 1: batch 100 / 308 | Loss: 0.61 | Precision: 0.96 | Recall: 0.96 | F1: 0.96 | Correct: 23 | Time: 0 s 
>>> epoch 1: batch 101 / 308 | Loss: 0.68 | Precision: 0.83 | Recall: 0.83 | F1: 0.83 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 102 / 308 | Loss: 0.64 | Precision: 0.94 | Recall: 0.92 | F1: 0.92 | Correct: 22 | Time: 0 s 
>>> epoch 1: batch 103 / 308 | Loss: 0.59 | Precision: 0.96 | Recall: 0.96 | F1: 0.96 | Correct: 23 | Time: 0 s 
>>> epoch 1: batch 104 / 308 | Loss: 0.68 | Precision: 0.89 | Recall: 0.88 | F1: 0.88 | Correct: 21 | Time: 0 s 
>>> epoch 1: batch 105 / 308 | Loss: 0.63 | Precision: 0.94 | Recall: 0.92 | F1: 0.92 | Correct: 22 | Time: 0 s 
>>> epoch 1: batch 106 / 308 | Loss: 0.58 | Precision: 0.96 | Recall: 0.96 | F1: 0.96 | Correct: 23 | Time: 0 s 
>>> epoch 1: batch 107 / 308 | Loss: 0.59 | Precision: 0.96 | Recall: 0.96 | F1: 0.96 | Correct: 23 | Time: 0 s 
>>> epoch 1: batch 108 / 308 | Loss: 0.68 | Precision: 0.92 | Recall: 0.88 | F1: 0.88 | Correct: 21 | Time: 0 s 
>>> epoch 1: batch 109 / 308 | Loss: 0.64 | Precision: 0.92 | Recall: 0.92 | F1: 0.92 | Correct: 22 | Time: 0 s 
>>> epoch 1: batch 110 / 308 | Loss: 0.58 | Precision: 0.97 | Recall: 0.96 | F1: 0.96 | Correct: 23 | Time: 0 s 
>>> epoch 1: batch 111 / 308 | Loss: 0.59 | Precision: 0.97 | Recall: 0.96 | F1: 0.96 | Correct: 23 | Time: 0 s 
>>> epoch 1: batch 112 / 308 | Loss: 0.71 | Precision: 0.92 | Recall: 0.83 | F1: 0.85 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 113 / 308 | Loss: 0.64 | Precision: 0.94 | Recall: 0.92 | F1: 0.92 | Correct: 22 | Time: 0 s 
>>> epoch 1: batch 114 / 308 | Loss: 0.56 | Precision: 1.00 | Recall: 1.00 | F1: 1.00 | Correct: 24 | Time: 0 s 
>>> epoch 1: batch 115 / 308 | Loss: 0.59 | Precision: 0.96 | Recall: 0.96 | F1: 0.96 | Correct: 23 | Time: 0 s 
>>> epoch 1: batch 116 / 308 | Loss: 0.62 | Precision: 0.96 | Recall: 0.96 | F1: 0.96 | Correct: 23 | Time: 0 s 
>>> epoch 1: batch 117 / 308 | Loss: 0.59 | Precision: 0.96 | Recall: 0.96 | F1: 0.96 | Correct: 23 | Time: 0 s 
>>> epoch 1: batch 118 / 308 | Loss: 0.78 | Precision: 0.78 | Recall: 0.75 | F1: 0.75 | Correct: 18 | Time: 0 s 
>>> epoch 1: batch 119 / 308 | Loss: 0.75 | Precision: 0.83 | Recall: 0.79 | F1: 0.80 | Correct: 19 | Time: 0 s 
>>> epoch 1: batch 120 / 308 | Loss: 0.60 | Precision: 0.97 | Recall: 0.96 | F1: 0.96 | Correct: 23 | Time: 0 s 
>>> epoch 1: batch 121 / 308 | Loss: 0.66 | Precision: 0.88 | Recall: 0.88 | F1: 0.88 | Correct: 21 | Time: 0 s 
>>> epoch 1: batch 122 / 308 | Loss: 0.62 | Precision: 0.93 | Recall: 0.92 | F1: 0.92 | Correct: 22 | Time: 0 s 
>>> epoch 1: batch 123 / 308 | Loss: 0.82 | Precision: 0.74 | Recall: 0.71 | F1: 0.70 | Correct: 17 | Time: 0 s 
>>> epoch 1: batch 124 / 308 | Loss: 0.62 | Precision: 0.92 | Recall: 0.92 | F1: 0.92 | Correct: 22 | Time: 0 s 
>>> epoch 1: batch 125 / 308 | Loss: 0.60 | Precision: 0.97 | Recall: 0.96 | F1: 0.96 | Correct: 23 | Time: 0 s 
>>> epoch 1: batch 126 / 308 | Loss: 0.61 | Precision: 0.96 | Recall: 0.96 | F1: 0.96 | Correct: 23 | Time: 0 s 
>>> epoch 1: batch 127 / 308 | Loss: 0.60 | Precision: 0.96 | Recall: 0.96 | F1: 0.96 | Correct: 23 | Time: 0 s 
>>> epoch 1: batch 128 / 308 | Loss: 0.59 | Precision: 0.96 | Recall: 0.96 | F1: 0.96 | Correct: 23 | Time: 0 s 
>>> epoch 1: batch 129 / 308 | Loss: 0.73 | Precision: 0.83 | Recall: 0.79 | F1: 0.78 | Correct: 19 | Time: 0 s 
>>> epoch 1: batch 130 / 308 | Loss: 0.61 | Precision: 0.93 | Recall: 0.92 | F1: 0.92 | Correct: 22 | Time: 0 s 
>>> epoch 1: batch 131 / 308 | Loss: 0.55 | Precision: 1.00 | Recall: 1.00 | F1: 1.00 | Correct: 24 | Time: 0 s 
>>> epoch 1: batch 132 / 308 | Loss: 0.63 | Precision: 0.94 | Recall: 0.92 | F1: 0.92 | Correct: 22 | Time: 0 s 
>>> epoch 1: batch 133 / 308 | Loss: 0.70 | Precision: 0.88 | Recall: 0.83 | F1: 0.84 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 134 / 308 | Loss: 0.76 | Precision: 0.76 | Recall: 0.75 | F1: 0.75 | Correct: 18 | Time: 0 s 
