FILENAME,CLASS,LABEL
Galaxy10_DECals-dataset-02054,0,2
Galaxy10_DECals-dataset-02055,0,1
Galaxy10_DECals-dataset-02056,0,1
Galaxy10_DECals-dataset-02057,0,1
Galaxy10_DECals-dataset-02059,0,3
Galaxy10_DECals-dataset-02060,0,1
Galaxy10_DECals-dataset-02061,0,3
Galaxy10_DECals-dataset-02062,0,2
Galaxy10_DECals-dataset-02063,0,1
Galaxy10_DECals-dataset-02064,0,2
Galaxy10_DECals-dataset-02066,0,2
Galaxy10_DECals-dataset-02067,0,2
Galaxy10_DECals-dataset-02069,0,2
Galaxy10_DECals-dataset-02070,0,1
Galaxy10_DECals-dataset-02072,0,1
Galaxy10_DECals-dataset-02073,0,2
Galaxy10_DECals-dataset-02074,0,2
Galaxy10_DECals-dataset-02075,0,2
Galaxy10_DECals-dataset-02076,0,1
Galaxy10_DECals-dataset-02077,0,2
Galaxy10_DECals-dataset-02078,0,2
Galaxy10_DECals-dataset-02079,0,2
Galaxy10_DECals-dataset-02080,0,2
Galaxy10_DECals-dataset-02081,0,2
Galaxy10_DECals-dataset-02082,0,1
Galaxy10_DECals-dataset-02083,0,1
Galaxy10_DECals-dataset-02084,0,3
Galaxy10_DECals-dataset-02085,0,2
Galaxy10_DECals-dataset-02087,0,2
Galaxy10_DECals-dataset-02089,0,2
Galaxy10_DECals-dataset-02093,0,2
Galaxy10_DECals-dataset-02094,0,1
Galaxy10_DECals-dataset-02095,0,1
Galaxy10_DECals-dataset-02096,0,2
Galaxy10_DECals-dataset-02098,0,2
Galaxy10_DECals-dataset-02100,0,2
Galaxy10_DECals-dataset-02102,0,2
Galaxy10_DECals-dataset-02103,0,1
Galaxy10_DECals-dataset-02104,0,2
Galaxy10_DECals-dataset-02106,0,3
Galaxy10_DECals-dataset-02107,0,3
Galaxy10_DECals-dataset-02108,0,2
Galaxy10_DECals-dataset-02109,0,2
Galaxy10_DECals-dataset-02110,0,2
Galaxy10_DECals-dataset-02111,0,1
Galaxy10_DECals-dataset-02113,0,2
Galaxy10_DECals-dataset-02114,0,1
Galaxy10_DECals-dataset-02115,0,2
Galaxy10_DECals-dataset-02116,0,2
Galaxy10_DECals-dataset-02117,0,1
Galaxy10_DECals-dataset-02119,0,1
Galaxy10_DECals-dataset-02121,0,2
Galaxy10_DECals-dataset-02122,0,2
