----------------------------------
Dataset shape: 17733 elements     |
----------------------------------
Training set length: 8869         |
Validation set length: 3547       |
Test set length: 5317             |
----------------------------------
Class | Train | Validation | Test |
----------------------------------
  0   |  1466 |    587     | 881  |
  1   |  2504 |    1001    | 1501 |
  2   |  3250 |    1300    | 1948 |
  3   |  1649 |    659     | 987  |
----------------------------------

----------------------------------
           TRAINING MODE          |
----------------------------------

Experiment ID: resnet50-all-merged|epochs=30|batch_size=24|learning_rate=0.000100|step_size=10|gamma=0.1|momentum=0.9|criterion=CrossEntropyLoss|optimizer=Adam 

EPOCH: 1
... training ...
>>> epoch 1: batch 1 / 370 | Loss: 1.41 | Precision: 0.02 | Recall: 0.08 | F1: 0.04 | Correct: 2 | Time: 1 s 
>>> epoch 1: batch 2 / 370 | Loss: 1.38 | Precision: 0.56 | Recall: 0.46 | F1: 0.43 | Correct: 11 | Time: 0 s 
>>> epoch 1: batch 3 / 370 | Loss: 1.34 | Precision: 0.60 | Recall: 0.54 | F1: 0.51 | Correct: 13 | Time: 0 s 
>>> epoch 1: batch 4 / 370 | Loss: 1.32 | Precision: 0.58 | Recall: 0.67 | F1: 0.62 | Correct: 16 | Time: 0 s 
>>> epoch 1: batch 5 / 370 | Loss: 1.28 | Precision: 0.52 | Recall: 0.62 | F1: 0.57 | Correct: 15 | Time: 0 s 
>>> epoch 1: batch 6 / 370 | Loss: 1.31 | Precision: 0.62 | Recall: 0.58 | F1: 0.57 | Correct: 14 | Time: 0 s 
>>> epoch 1: batch 7 / 370 | Loss: 1.21 | Precision: 0.73 | Recall: 0.71 | F1: 0.68 | Correct: 17 | Time: 0 s 
>>> epoch 1: batch 8 / 370 | Loss: 1.19 | Precision: 0.61 | Recall: 0.71 | F1: 0.65 | Correct: 17 | Time: 0 s 
>>> epoch 1: batch 9 / 370 | Loss: 1.18 | Precision: 0.55 | Recall: 0.67 | F1: 0.61 | Correct: 16 | Time: 0 s 
>>> epoch 1: batch 10 / 370 | Loss: 1.18 | Precision: 0.48 | Recall: 0.62 | F1: 0.54 | Correct: 15 | Time: 0 s 
>>> epoch 1: batch 11 / 370 | Loss: 1.12 | Precision: 0.53 | Recall: 0.67 | F1: 0.59 | Correct: 16 | Time: 0 s 
>>> epoch 1: batch 12 / 370 | Loss: 0.97 | Precision: 0.81 | Recall: 0.88 | F1: 0.84 | Correct: 21 | Time: 0 s 
>>> epoch 1: batch 13 / 370 | Loss: 1.10 | Precision: 0.72 | Recall: 0.67 | F1: 0.64 | Correct: 16 | Time: 0 s 
>>> epoch 1: batch 14 / 370 | Loss: 0.97 | Precision: 0.75 | Recall: 0.83 | F1: 0.78 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 15 / 370 | Loss: 0.83 | Precision: 1.00 | Recall: 1.00 | F1: 1.00 | Correct: 24 | Time: 0 s 
>>> epoch 1: batch 16 / 370 | Loss: 1.06 | Precision: 0.48 | Recall: 0.67 | F1: 0.56 | Correct: 16 | Time: 0 s 
>>> epoch 1: batch 17 / 370 | Loss: 1.00 | Precision: 0.76 | Recall: 0.79 | F1: 0.78 | Correct: 19 | Time: 0 s 
>>> epoch 1: batch 18 / 370 | Loss: 1.00 | Precision: 0.74 | Recall: 0.75 | F1: 0.72 | Correct: 18 | Time: 0 s 
>>> epoch 1: batch 19 / 370 | Loss: 0.89 | Precision: 0.85 | Recall: 0.92 | F1: 0.88 | Correct: 22 | Time: 0 s 
>>> epoch 1: batch 20 / 370 | Loss: 0.94 | Precision: 0.70 | Recall: 0.83 | F1: 0.76 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 21 / 370 | Loss: 0.99 | Precision: 0.79 | Recall: 0.75 | F1: 0.74 | Correct: 18 | Time: 0 s 
>>> epoch 1: batch 22 / 370 | Loss: 1.07 | Precision: 0.60 | Recall: 0.67 | F1: 0.60 | Correct: 16 | Time: 0 s 
>>> epoch 1: batch 23 / 370 | Loss: 1.06 | Precision: 0.56 | Recall: 0.67 | F1: 0.59 | Correct: 16 | Time: 0 s 
>>> epoch 1: batch 24 / 370 | Loss: 0.98 | Precision: 0.66 | Recall: 0.79 | F1: 0.72 | Correct: 19 | Time: 0 s 
>>> epoch 1: batch 25 / 370 | Loss: 0.91 | Precision: 0.76 | Recall: 0.83 | F1: 0.78 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 26 / 370 | Loss: 1.03 | Precision: 0.60 | Recall: 0.71 | F1: 0.63 | Correct: 17 | Time: 0 s 
>>> epoch 1: batch 27 / 370 | Loss: 0.96 | Precision: 0.67 | Recall: 0.75 | F1: 0.69 | Correct: 18 | Time: 0 s 
>>> epoch 1: batch 28 / 370 | Loss: 0.94 | Precision: 0.74 | Recall: 0.83 | F1: 0.78 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 29 / 370 | Loss: 0.90 | Precision: 0.86 | Recall: 0.88 | F1: 0.86 | Correct: 21 | Time: 0 s 
>>> epoch 1: batch 30 / 370 | Loss: 0.92 | Precision: 0.63 | Recall: 0.79 | F1: 0.70 | Correct: 19 | Time: 0 s 
>>> epoch 1: batch 31 / 370 | Loss: 1.02 | Precision: 0.59 | Recall: 0.71 | F1: 0.63 | Correct: 17 | Time: 0 s 
>>> epoch 1: batch 32 / 370 | Loss: 0.92 | Precision: 0.70 | Recall: 0.83 | F1: 0.76 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 33 / 370 | Loss: 0.92 | Precision: 0.74 | Recall: 0.83 | F1: 0.78 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 34 / 370 | Loss: 1.06 | Precision: 0.57 | Recall: 0.67 | F1: 0.59 | Correct: 16 | Time: 0 s 
>>> epoch 1: batch 35 / 370 | Loss: 1.04 | Precision: 0.54 | Recall: 0.71 | F1: 0.61 | Correct: 17 | Time: 0 s 
>>> epoch 1: batch 36 / 370 | Loss: 0.95 | Precision: 0.70 | Recall: 0.83 | F1: 0.76 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 37 / 370 | Loss: 1.08 | Precision: 0.83 | Recall: 0.67 | F1: 0.70 | Correct: 16 | Time: 0 s 
>>> epoch 1: batch 38 / 370 | Loss: 0.87 | Precision: 0.89 | Recall: 0.88 | F1: 0.87 | Correct: 21 | Time: 0 s 
>>> epoch 1: batch 39 / 370 | Loss: 1.08 | Precision: 0.57 | Recall: 0.71 | F1: 0.63 | Correct: 17 | Time: 0 s 
>>> epoch 1: batch 40 / 370 | Loss: 0.98 | Precision: 0.63 | Recall: 0.75 | F1: 0.68 | Correct: 18 | Time: 0 s 
>>> epoch 1: batch 41 / 370 | Loss: 0.85 | Precision: 0.85 | Recall: 0.92 | F1: 0.88 | Correct: 22 | Time: 0 s 
>>> epoch 1: batch 42 / 370 | Loss: 1.05 | Precision: 0.54 | Recall: 0.67 | F1: 0.59 | Correct: 16 | Time: 0 s 
>>> epoch 1: batch 43 / 370 | Loss: 0.92 | Precision: 0.70 | Recall: 0.83 | F1: 0.76 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 44 / 370 | Loss: 0.89 | Precision: 0.80 | Recall: 0.88 | F1: 0.84 | Correct: 21 | Time: 0 s 
>>> epoch 1: batch 45 / 370 | Loss: 1.12 | Precision: 0.47 | Recall: 0.58 | F1: 0.51 | Correct: 14 | Time: 0 s 
>>> epoch 1: batch 46 / 370 | Loss: 1.16 | Precision: 0.41 | Recall: 0.54 | F1: 0.45 | Correct: 13 | Time: 0 s 
>>> epoch 1: batch 47 / 370 | Loss: 0.99 | Precision: 0.69 | Recall: 0.75 | F1: 0.70 | Correct: 18 | Time: 0 s 
>>> epoch 1: batch 48 / 370 | Loss: 0.98 | Precision: 0.72 | Recall: 0.79 | F1: 0.74 | Correct: 19 | Time: 0 s 
>>> epoch 1: batch 49 / 370 | Loss: 0.99 | Precision: 0.68 | Recall: 0.75 | F1: 0.70 | Correct: 18 | Time: 0 s 
>>> epoch 1: batch 50 / 370 | Loss: 0.98 | Precision: 0.72 | Recall: 0.75 | F1: 0.72 | Correct: 18 | Time: 0 s 
>>> epoch 1: batch 51 / 370 | Loss: 0.91 | Precision: 0.77 | Recall: 0.83 | F1: 0.80 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 52 / 370 | Loss: 1.05 | Precision: 0.58 | Recall: 0.71 | F1: 0.63 | Correct: 17 | Time: 0 s 
>>> epoch 1: batch 53 / 370 | Loss: 1.08 | Precision: 0.47 | Recall: 0.67 | F1: 0.55 | Correct: 16 | Time: 0 s 
>>> epoch 1: batch 54 / 370 | Loss: 1.10 | Precision: 0.52 | Recall: 0.62 | F1: 0.56 | Correct: 15 | Time: 0 s 
>>> epoch 1: batch 55 / 370 | Loss: 1.11 | Precision: 0.45 | Recall: 0.62 | F1: 0.52 | Correct: 15 | Time: 0 s 
>>> epoch 1: batch 56 / 370 | Loss: 1.09 | Precision: 0.69 | Recall: 0.62 | F1: 0.61 | Correct: 15 | Time: 0 s 
>>> epoch 1: batch 57 / 370 | Loss: 1.05 | Precision: 0.53 | Recall: 0.71 | F1: 0.61 | Correct: 17 | Time: 0 s 
>>> epoch 1: batch 58 / 370 | Loss: 1.01 | Precision: 0.68 | Recall: 0.71 | F1: 0.67 | Correct: 17 | Time: 0 s 
>>> epoch 1: batch 59 / 370 | Loss: 0.98 | Precision: 0.56 | Recall: 0.75 | F1: 0.64 | Correct: 18 | Time: 0 s 
>>> epoch 1: batch 60 / 370 | Loss: 1.00 | Precision: 0.60 | Recall: 0.75 | F1: 0.66 | Correct: 18 | Time: 0 s 
>>> epoch 1: batch 61 / 370 | Loss: 0.98 | Precision: 0.57 | Recall: 0.75 | F1: 0.64 | Correct: 18 | Time: 0 s 
>>> epoch 1: batch 62 / 370 | Loss: 0.86 | Precision: 0.86 | Recall: 0.88 | F1: 0.86 | Correct: 21 | Time: 0 s 
>>> epoch 1: batch 63 / 370 | Loss: 1.04 | Precision: 0.61 | Recall: 0.71 | F1: 0.65 | Correct: 17 | Time: 0 s 
>>> epoch 1: batch 64 / 370 | Loss: 1.05 | Precision: 0.58 | Recall: 0.67 | F1: 0.60 | Correct: 16 | Time: 0 s 
>>> epoch 1: batch 65 / 370 | Loss: 0.84 | Precision: 0.86 | Recall: 0.92 | F1: 0.88 | Correct: 22 | Time: 0 s 
>>> epoch 1: batch 66 / 370 | Loss: 1.04 | Precision: 0.77 | Recall: 0.71 | F1: 0.65 | Correct: 17 | Time: 0 s 
>>> epoch 1: batch 67 / 370 | Loss: 1.04 | Precision: 0.52 | Recall: 0.67 | F1: 0.58 | Correct: 16 | Time: 0 s 
>>> epoch 1: batch 68 / 370 | Loss: 1.04 | Precision: 0.54 | Recall: 0.67 | F1: 0.59 | Correct: 16 | Time: 0 s 
>>> epoch 1: batch 69 / 370 | Loss: 0.98 | Precision: 0.78 | Recall: 0.75 | F1: 0.73 | Correct: 18 | Time: 0 s 
>>> epoch 1: batch 70 / 370 | Loss: 1.01 | Precision: 0.64 | Recall: 0.71 | F1: 0.65 | Correct: 17 | Time: 0 s 
>>> epoch 1: batch 71 / 370 | Loss: 0.93 | Precision: 0.81 | Recall: 0.83 | F1: 0.82 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 72 / 370 | Loss: 1.02 | Precision: 0.55 | Recall: 0.71 | F1: 0.61 | Correct: 17 | Time: 0 s 
>>> epoch 1: batch 73 / 370 | Loss: 0.90 | Precision: 0.75 | Recall: 0.83 | F1: 0.78 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 74 / 370 | Loss: 1.04 | Precision: 0.51 | Recall: 0.67 | F1: 0.58 | Correct: 16 | Time: 0 s 
>>> epoch 1: batch 75 / 370 | Loss: 1.00 | Precision: 0.78 | Recall: 0.75 | F1: 0.75 | Correct: 18 | Time: 0 s 
>>> epoch 1: batch 76 / 370 | Loss: 1.05 | Precision: 0.78 | Recall: 0.71 | F1: 0.72 | Correct: 17 | Time: 0 s 
>>> epoch 1: batch 77 / 370 | Loss: 0.93 | Precision: 0.85 | Recall: 0.79 | F1: 0.75 | Correct: 19 | Time: 0 s 
>>> epoch 1: batch 78 / 370 | Loss: 0.91 | Precision: 0.82 | Recall: 0.83 | F1: 0.81 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 79 / 370 | Loss: 0.84 | Precision: 0.98 | Recall: 0.96 | F1: 0.96 | Correct: 23 | Time: 0 s 
>>> epoch 1: batch 80 / 370 | Loss: 0.88 | Precision: 0.90 | Recall: 0.88 | F1: 0.86 | Correct: 21 | Time: 0 s 
>>> epoch 1: batch 81 / 370 | Loss: 0.94 | Precision: 0.84 | Recall: 0.83 | F1: 0.83 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 82 / 370 | Loss: 0.92 | Precision: 0.87 | Recall: 0.79 | F1: 0.81 | Correct: 19 | Time: 0 s 
>>> epoch 1: batch 83 / 370 | Loss: 0.95 | Precision: 0.81 | Recall: 0.75 | F1: 0.69 | Correct: 18 | Time: 0 s 
>>> epoch 1: batch 84 / 370 | Loss: 0.98 | Precision: 0.73 | Recall: 0.75 | F1: 0.72 | Correct: 18 | Time: 0 s 
>>> epoch 1: batch 85 / 370 | Loss: 1.07 | Precision: 0.69 | Recall: 0.67 | F1: 0.66 | Correct: 16 | Time: 0 s 
>>> epoch 1: batch 86 / 370 | Loss: 0.84 | Precision: 0.94 | Recall: 0.92 | F1: 0.91 | Correct: 22 | Time: 0 s 
>>> epoch 1: batch 87 / 370 | Loss: 0.94 | Precision: 0.84 | Recall: 0.79 | F1: 0.78 | Correct: 19 | Time: 0 s 
>>> epoch 1: batch 88 / 370 | Loss: 0.95 | Precision: 0.87 | Recall: 0.83 | F1: 0.85 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 89 / 370 | Loss: 0.97 | Precision: 0.81 | Recall: 0.79 | F1: 0.79 | Correct: 19 | Time: 0 s 
>>> epoch 1: batch 90 / 370 | Loss: 0.91 | Precision: 0.84 | Recall: 0.83 | F1: 0.83 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 91 / 370 | Loss: 0.88 | Precision: 0.88 | Recall: 0.88 | F1: 0.88 | Correct: 21 | Time: 0 s 
>>> epoch 1: batch 92 / 370 | Loss: 0.99 | Precision: 0.76 | Recall: 0.75 | F1: 0.75 | Correct: 18 | Time: 0 s 
>>> epoch 1: batch 93 / 370 | Loss: 0.96 | Precision: 0.86 | Recall: 0.79 | F1: 0.80 | Correct: 19 | Time: 0 s 
>>> epoch 1: batch 94 / 370 | Loss: 0.94 | Precision: 0.76 | Recall: 0.75 | F1: 0.75 | Correct: 18 | Time: 0 s 
>>> epoch 1: batch 95 / 370 | Loss: 1.00 | Precision: 0.78 | Recall: 0.79 | F1: 0.78 | Correct: 19 | Time: 0 s 
>>> epoch 1: batch 96 / 370 | Loss: 1.01 | Precision: 0.83 | Recall: 0.71 | F1: 0.73 | Correct: 17 | Time: 0 s 
>>> epoch 1: batch 97 / 370 | Loss: 0.97 | Precision: 0.86 | Recall: 0.79 | F1: 0.81 | Correct: 19 | Time: 0 s 
>>> epoch 1: batch 98 / 370 | Loss: 0.90 | Precision: 0.92 | Recall: 0.88 | F1: 0.88 | Correct: 21 | Time: 0 s 
>>> epoch 1: batch 99 / 370 | Loss: 0.91 | Precision: 0.84 | Recall: 0.83 | F1: 0.83 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 100 / 370 | Loss: 0.89 | Precision: 0.87 | Recall: 0.83 | F1: 0.84 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 101 / 370 | Loss: 1.04 | Precision: 0.74 | Recall: 0.71 | F1: 0.71 | Correct: 17 | Time: 0 s 
>>> epoch 1: batch 102 / 370 | Loss: 1.00 | Precision: 0.73 | Recall: 0.75 | F1: 0.72 | Correct: 18 | Time: 0 s 
>>> epoch 1: batch 103 / 370 | Loss: 1.14 | Precision: 0.88 | Recall: 0.58 | F1: 0.69 | Correct: 14 | Time: 0 s 
>>> epoch 1: batch 104 / 370 | Loss: 1.10 | Precision: 0.66 | Recall: 0.62 | F1: 0.61 | Correct: 15 | Time: 0 s 
>>> epoch 1: batch 105 / 370 | Loss: 0.94 | Precision: 0.86 | Recall: 0.83 | F1: 0.84 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 106 / 370 | Loss: 0.97 | Precision: 0.78 | Recall: 0.75 | F1: 0.74 | Correct: 18 | Time: 0 s 
>>> epoch 1: batch 107 / 370 | Loss: 0.93 | Precision: 0.81 | Recall: 0.79 | F1: 0.78 | Correct: 19 | Time: 0 s 
>>> epoch 1: batch 108 / 370 | Loss: 0.94 | Precision: 0.86 | Recall: 0.79 | F1: 0.81 | Correct: 19 | Time: 0 s 
>>> epoch 1: batch 109 / 370 | Loss: 1.04 | Precision: 0.68 | Recall: 0.67 | F1: 0.64 | Correct: 16 | Time: 0 s 
>>> epoch 1: batch 110 / 370 | Loss: 0.91 | Precision: 0.86 | Recall: 0.83 | F1: 0.81 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 111 / 370 | Loss: 0.94 | Precision: 0.83 | Recall: 0.79 | F1: 0.79 | Correct: 19 | Time: 0 s 
>>> epoch 1: batch 112 / 370 | Loss: 0.79 | Precision: 1.00 | Recall: 0.96 | F1: 0.98 | Correct: 23 | Time: 0 s 
>>> epoch 1: batch 113 / 370 | Loss: 1.06 | Precision: 0.89 | Recall: 0.67 | F1: 0.69 | Correct: 16 | Time: 0 s 
>>> epoch 1: batch 114 / 370 | Loss: 0.89 | Precision: 0.89 | Recall: 0.88 | F1: 0.87 | Correct: 21 | Time: 0 s 
>>> epoch 1: batch 115 / 370 | Loss: 0.90 | Precision: 0.77 | Recall: 0.79 | F1: 0.78 | Correct: 19 | Time: 0 s 
>>> epoch 1: batch 116 / 370 | Loss: 0.86 | Precision: 0.88 | Recall: 0.88 | F1: 0.88 | Correct: 21 | Time: 0 s 
>>> epoch 1: batch 117 / 370 | Loss: 0.83 | Precision: 0.92 | Recall: 0.92 | F1: 0.91 | Correct: 22 | Time: 0 s 
>>> epoch 1: batch 118 / 370 | Loss: 0.86 | Precision: 0.93 | Recall: 0.92 | F1: 0.90 | Correct: 22 | Time: 0 s 
>>> epoch 1: batch 119 / 370 | Loss: 1.08 | Precision: 0.56 | Recall: 0.67 | F1: 0.60 | Correct: 16 | Time: 0 s 
>>> epoch 1: batch 120 / 370 | Loss: 1.03 | Precision: 0.83 | Recall: 0.71 | F1: 0.76 | Correct: 17 | Time: 0 s 
>>> epoch 1: batch 121 / 370 | Loss: 0.81 | Precision: 0.92 | Recall: 0.92 | F1: 0.92 | Correct: 22 | Time: 0 s 
>>> epoch 1: batch 122 / 370 | Loss: 0.87 | Precision: 0.78 | Recall: 0.88 | F1: 0.82 | Correct: 21 | Time: 0 s 
>>> epoch 1: batch 123 / 370 | Loss: 0.94 | Precision: 0.80 | Recall: 0.79 | F1: 0.78 | Correct: 19 | Time: 0 s 
>>> epoch 1: batch 124 / 370 | Loss: 0.96 | Precision: 0.89 | Recall: 0.79 | F1: 0.77 | Correct: 19 | Time: 0 s 
>>> epoch 1: batch 125 / 370 | Loss: 0.99 | Precision: 0.63 | Recall: 0.71 | F1: 0.66 | Correct: 17 | Time: 0 s 
>>> epoch 1: batch 126 / 370 | Loss: 1.03 | Precision: 0.81 | Recall: 0.71 | F1: 0.69 | Correct: 17 | Time: 0 s 
>>> epoch 1: batch 127 / 370 | Loss: 1.00 | Precision: 0.68 | Recall: 0.75 | F1: 0.70 | Correct: 18 | Time: 0 s 
>>> epoch 1: batch 128 / 370 | Loss: 0.96 | Precision: 0.91 | Recall: 0.79 | F1: 0.81 | Correct: 19 | Time: 0 s 
>>> epoch 1: batch 129 / 370 | Loss: 0.82 | Precision: 0.96 | Recall: 0.92 | F1: 0.93 | Correct: 22 | Time: 0 s 
>>> epoch 1: batch 130 / 370 | Loss: 0.99 | Precision: 0.81 | Recall: 0.75 | F1: 0.74 | Correct: 18 | Time: 0 s 
>>> epoch 1: batch 131 / 370 | Loss: 1.07 | Precision: 0.50 | Recall: 0.67 | F1: 0.57 | Correct: 16 | Time: 0 s 
>>> epoch 1: batch 132 / 370 | Loss: 0.89 | Precision: 0.90 | Recall: 0.88 | F1: 0.85 | Correct: 21 | Time: 0 s 
>>> epoch 1: batch 133 / 370 | Loss: 0.91 | Precision: 0.86 | Recall: 0.83 | F1: 0.80 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 134 / 370 | Loss: 1.09 | Precision: 0.73 | Recall: 0.67 | F1: 0.67 | Correct: 16 | Time: 0 s 
>>> epoch 1: batch 135 / 370 | Loss: 0.96 | Precision: 0.85 | Recall: 0.79 | F1: 0.77 | Correct: 19 | Time: 0 s 
>>> epoch 1: batch 136 / 370 | Loss: 0.83 | Precision: 0.93 | Recall: 0.92 | F1: 0.91 | Correct: 22 | Time: 0 s 
>>> epoch 1: batch 137 / 370 | Loss: 0.82 | Precision: 0.96 | Recall: 0.96 | F1: 0.96 | Correct: 23 | Time: 0 s 
>>> epoch 1: batch 138 / 370 | Loss: 0.99 | Precision: 0.80 | Recall: 0.79 | F1: 0.78 | Correct: 19 | Time: 0 s 
>>> epoch 1: batch 139 / 370 | Loss: 0.96 | Precision: 0.87 | Recall: 0.79 | F1: 0.79 | Correct: 19 | Time: 0 s 
>>> epoch 1: batch 140 / 370 | Loss: 0.87 | Precision: 0.92 | Recall: 0.88 | F1: 0.89 | Correct: 21 | Time: 0 s 
>>> epoch 1: batch 141 / 370 | Loss: 0.98 | Precision: 0.84 | Recall: 0.79 | F1: 0.81 | Correct: 19 | Time: 0 s 
>>> epoch 1: batch 142 / 370 | Loss: 0.94 | Precision: 0.85 | Recall: 0.79 | F1: 0.80 | Correct: 19 | Time: 0 s 
>>> epoch 1: batch 143 / 370 | Loss: 0.87 | Precision: 0.88 | Recall: 0.88 | F1: 0.87 | Correct: 21 | Time: 0 s 
>>> epoch 1: batch 144 / 370 | Loss: 0.79 | Precision: 0.96 | Recall: 0.96 | F1: 0.95 | Correct: 23 | Time: 0 s 
>>> epoch 1: batch 145 / 370 | Loss: 0.80 | Precision: 0.96 | Recall: 0.96 | F1: 0.96 | Correct: 23 | Time: 0 s 
>>> epoch 1: batch 146 / 370 | Loss: 0.92 | Precision: 0.86 | Recall: 0.83 | F1: 0.84 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 147 / 370 | Loss: 0.93 | Precision: 0.81 | Recall: 0.79 | F1: 0.80 | Correct: 19 | Time: 0 s 
>>> epoch 1: batch 148 / 370 | Loss: 0.85 | Precision: 0.89 | Recall: 0.88 | F1: 0.88 | Correct: 21 | Time: 0 s 
>>> epoch 1: batch 149 / 370 | Loss: 0.91 | Precision: 0.86 | Recall: 0.83 | F1: 0.84 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 150 / 370 | Loss: 0.98 | Precision: 0.82 | Recall: 0.75 | F1: 0.76 | Correct: 18 | Time: 0 s 
>>> epoch 1: batch 151 / 370 | Loss: 0.99 | Precision: 0.83 | Recall: 0.79 | F1: 0.79 | Correct: 19 | Time: 0 s 
>>> epoch 1: batch 152 / 370 | Loss: 1.02 | Precision: 0.67 | Recall: 0.67 | F1: 0.67 | Correct: 16 | Time: 0 s 
>>> epoch 1: batch 153 / 370 | Loss: 0.97 | Precision: 0.83 | Recall: 0.75 | F1: 0.77 | Correct: 18 | Time: 0 s 
>>> epoch 1: batch 154 / 370 | Loss: 0.89 | Precision: 0.87 | Recall: 0.83 | F1: 0.84 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 155 / 370 | Loss: 0.94 | Precision: 0.84 | Recall: 0.83 | F1: 0.83 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 156 / 370 | Loss: 0.89 | Precision: 0.94 | Recall: 0.88 | F1: 0.89 | Correct: 21 | Time: 0 s 
>>> epoch 1: batch 157 / 370 | Loss: 0.98 | Precision: 0.76 | Recall: 0.75 | F1: 0.75 | Correct: 18 | Time: 0 s 
>>> epoch 1: batch 158 / 370 | Loss: 0.88 | Precision: 0.89 | Recall: 0.88 | F1: 0.87 | Correct: 21 | Time: 0 s 
>>> epoch 1: batch 159 / 370 | Loss: 0.78 | Precision: 0.98 | Recall: 0.96 | F1: 0.96 | Correct: 23 | Time: 0 s 
>>> epoch 1: batch 160 / 370 | Loss: 0.90 | Precision: 0.90 | Recall: 0.88 | F1: 0.85 | Correct: 21 | Time: 0 s 
>>> epoch 1: batch 161 / 370 | Loss: 0.83 | Precision: 0.93 | Recall: 0.92 | F1: 0.90 | Correct: 22 | Time: 0 s 
>>> epoch 1: batch 162 / 370 | Loss: 1.02 | Precision: 0.83 | Recall: 0.71 | F1: 0.75 | Correct: 17 | Time: 0 s 
>>> epoch 1: batch 163 / 370 | Loss: 0.86 | Precision: 0.83 | Recall: 0.83 | F1: 0.83 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 164 / 370 | Loss: 0.94 | Precision: 0.84 | Recall: 0.79 | F1: 0.75 | Correct: 19 | Time: 0 s 
>>> epoch 1: batch 165 / 370 | Loss: 0.86 | Precision: 0.91 | Recall: 0.88 | F1: 0.87 | Correct: 21 | Time: 0 s 
>>> epoch 1: batch 166 / 370 | Loss: 0.93 | Precision: 0.85 | Recall: 0.79 | F1: 0.77 | Correct: 19 | Time: 0 s 
>>> epoch 1: batch 167 / 370 | Loss: 0.93 | Precision: 0.84 | Recall: 0.79 | F1: 0.75 | Correct: 19 | Time: 0 s 
>>> epoch 1: batch 168 / 370 | Loss: 1.00 | Precision: 0.71 | Recall: 0.71 | F1: 0.69 | Correct: 17 | Time: 0 s 
>>> epoch 1: batch 169 / 370 | Loss: 0.88 | Precision: 0.81 | Recall: 0.88 | F1: 0.84 | Correct: 21 | Time: 0 s 
>>> epoch 1: batch 170 / 370 | Loss: 0.85 | Precision: 0.93 | Recall: 0.92 | F1: 0.91 | Correct: 22 | Time: 0 s 
>>> epoch 1: batch 171 / 370 | Loss: 0.96 | Precision: 0.89 | Recall: 0.79 | F1: 0.80 | Correct: 19 | Time: 0 s 
>>> epoch 1: batch 172 / 370 | Loss: 0.91 | Precision: 0.85 | Recall: 0.83 | F1: 0.83 | Correct: 20 | Time: 0 s 
>>> epoch 1: batch 173 / 370 | Loss: 0.89 | Precision: 0.89 | Recall: 0.88 | F1: 0.86 | Correct: 21 | Time: 0 s 
