FILENAME,CLASS,LABEL,SCORE
Galaxy10_DECals-dataset-09173,5,1,0.2333
Galaxy10_DECals-dataset-05203,2,2,0.9
Galaxy10_DECals-dataset-11734,6,5,0.2333
Galaxy10_DECals-dataset-04378,2,2,0.8333
Galaxy10_DECals-dataset-15023,8,8,0.6
Galaxy10_DECals-dataset-03914,2,2,0.7667
Galaxy10_DECals-dataset-01793,1,7,0.5333
Galaxy10_DECals-dataset-09423,5,2,0.2667
Galaxy10_DECals-dataset-15645,8,7,0.2
Galaxy10_DECals-dataset-01604,1,1,0.3667
Galaxy10_DECals-dataset-04945,2,2,0.8
Galaxy10_DECals-dataset-14320,7,5,0.2667
Galaxy10_DECals-dataset-06518,3,3,0.3333
Galaxy10_DECals-dataset-13821,7,5,0.3
Galaxy10_DECals-dataset-05531,2,2,0.7667
Galaxy10_DECals-dataset-06908,3,3,0.5333
Galaxy10_DECals-dataset-09062,5,7,0.3
Galaxy10_DECals-dataset-01062,0,7,0.5333
Galaxy10_DECals-dataset-14560,8,4,0.2333
Galaxy10_DECals-dataset-07781,4,4,0.4
Galaxy10_DECals-dataset-10970,6,6,0.2667
Galaxy10_DECals-dataset-02044,1,7,0.1667
Galaxy10_DECals-dataset-13754,7,7,0.4917
Galaxy10_DECals-dataset-17125,9,9,0.7333
Galaxy10_DECals-dataset-10097,6,2,0.4
Galaxy10_DECals-dataset-05937,3,3,0.6
Galaxy10_DECals-dataset-14557,8,8,0.5
Galaxy10_DECals-dataset-15475,8,8,0.3
Galaxy10_DECals-dataset-05260,2,7,0.3333
Galaxy10_DECals-dataset-10718,6,6,0.3
Galaxy10_DECals-dataset-02382,1,6,0.2667
Galaxy10_DECals-dataset-05503,2,2,0.5333
Galaxy10_DECals-dataset-15071,8,7,0.25
Galaxy10_DECals-dataset-05908,3,1,0.2667
Galaxy10_DECals-dataset-05451,2,2,0.8667
Galaxy10_DECals-dataset-15806,8,8,0.6667
Galaxy10_DECals-dataset-10253,6,6,0.4333
Galaxy10_DECals-dataset-03142,2,2,0.5
Galaxy10_DECals-dataset-16052,9,9,0.4667
Galaxy10_DECals-dataset-10941,6,6,0.3
Galaxy10_DECals-dataset-15156,8,7,0.2333
Galaxy10_DECals-dataset-14012,7,3,0.3333
Galaxy10_DECals-dataset-13225,7,1,0.3667
Galaxy10_DECals-dataset-11927,7,6,0.2333
Galaxy10_DECals-dataset-11169,6,3,0.5667
Galaxy10_DECals-dataset-10106,6,7,0.4
Galaxy10_DECals-dataset-00742,0,3,0.4
Galaxy10_DECals-dataset-16037,9,9,0.5
Galaxy10_DECals-dataset-05369,2,2,0.2333
Galaxy10_DECals-dataset-13890,7,1,0.4
Galaxy10_DECals-dataset-05085,2,2,1.0
Galaxy10_DECals-dataset-15090,8,8,0.6
Galaxy10_DECals-dataset-03717,2,2,0.8667
Galaxy10_DECals-dataset-03049,2,2,0.6
Galaxy10_DECals-dataset-01250,1,1,0.4333
Galaxy10_DECals-dataset-04444,2,2,0.8667
Galaxy10_DECals-dataset-16758,9,9,0.5333
Galaxy10_DECals-dataset-12351,7,2,0.2333
Galaxy10_DECals-dataset-15622,8,8,0.8
Galaxy10_DECals-dataset-11711,6,1,0.2333
Galaxy10_DECals-dataset-13351,7,7,0.3333
Galaxy10_DECals-dataset-06102,3,3,0.2333
Galaxy10_DECals-dataset-02330,1,1,0.3667
Galaxy10_DECals-dataset-06373,3,2,0.3
Galaxy10_DECals-dataset-04555,2,2,0.8
Galaxy10_DECals-dataset-05057,2,2,0.4
Galaxy10_DECals-dataset-04823,2,2,0.7667
Galaxy10_DECals-dataset-13857,7,7,0.2333
Galaxy10_DECals-dataset-15198,8,9,0.3667
Galaxy10_DECals-dataset-00608,0,7,0.3667
Galaxy10_DECals-dataset-13760,7,7,0.2667
Galaxy10_DECals-dataset-13000,7,2,0.2333
Galaxy10_DECals-dataset-05070,2,2,0.8
Galaxy10_DECals-dataset-02024,1,1,0.3
