FILENAME,CLASS,LABEL,SCORE
Galaxy10_DECals-dataset-02062,0,2,0.5333
Galaxy10_DECals-dataset-04562,1,1,0.9
Galaxy10_DECals-dataset-05699,1,1,0.7
Galaxy10_DECals-dataset-04670,1,1,0.5333
Galaxy10_DECals-dataset-14244,2,2,0.6333
Galaxy10_DECals-dataset-06422,1,0,0.6333
Galaxy10_DECals-dataset-04858,1,1,0.7
Galaxy10_DECals-dataset-04098,1,1,0.7667
Galaxy10_DECals-dataset-05744,1,1,0.6
Galaxy10_DECals-dataset-16355,3,3,0.9
Galaxy10_DECals-dataset-10866,2,1,0.6
Galaxy10_DECals-dataset-15739,3,3,0.7667
Galaxy10_DECals-dataset-03913,1,1,0.8667
Galaxy10_DECals-dataset-14490,3,3,0.6333
Galaxy10_DECals-dataset-15251,3,3,0.6333
Galaxy10_DECals-dataset-12856,2,2,0.4667
Galaxy10_DECals-dataset-12389,2,3,0.4667
Galaxy10_DECals-dataset-06242,1,1,0.5333
Galaxy10_DECals-dataset-06598,1,1,0.6
Galaxy10_DECals-dataset-08346,2,2,0.4333
Galaxy10_DECals-dataset-03858,1,1,0.8333
Galaxy10_DECals-dataset-11809,2,2,0.4667
Galaxy10_DECals-dataset-05661,1,1,0.5667
Galaxy10_DECals-dataset-15129,3,3,0.5
Galaxy10_DECals-dataset-00484,0,0,0.6
Galaxy10_DECals-dataset-02100,0,0,0.5333
Galaxy10_DECals-dataset-13096,2,2,0.5333
Galaxy10_DECals-dataset-05982,1,1,0.7
Galaxy10_DECals-dataset-11976,2,3,0.4333
Galaxy10_DECals-dataset-01319,0,3,0.4
Galaxy10_DECals-dataset-03086,1,1,0.6
Galaxy10_DECals-dataset-05849,1,1,0.7333
Galaxy10_DECals-dataset-04033,1,1,0.9667
Galaxy10_DECals-dataset-09490,2,2,0.6
Galaxy10_DECals-dataset-13593,2,2,0.8333
Galaxy10_DECals-dataset-11913,2,2,0.6
Galaxy10_DECals-dataset-15757,3,3,0.3667
Galaxy10_DECals-dataset-02779,0,2,0.5
Galaxy10_DECals-dataset-15379,3,3,0.9667
Galaxy10_DECals-dataset-15685,3,3,0.8333
Galaxy10_DECals-dataset-03880,1,1,0.3333
Galaxy10_DECals-dataset-09828,2,2,0.7
Galaxy10_DECals-dataset-16741,3,3,0.7
Galaxy10_DECals-dataset-05915,1,1,0.5
Galaxy10_DECals-dataset-04776,1,1,0.8333
Galaxy10_DECals-dataset-10592,2,2,0.5667
Galaxy10_DECals-dataset-06288,1,2,0.4333
Galaxy10_DECals-dataset-02847,0,0,0.6333
Galaxy10_DECals-dataset-13672,2,2,0.6417
Galaxy10_DECals-dataset-13363,2,2,0.5
Galaxy10_DECals-dataset-03633,1,1,0.9333
Galaxy10_DECals-dataset-02336,0,2,0.4083
Galaxy10_DECals-dataset-15165,3,3,0.7333
Galaxy10_DECals-dataset-10217,2,2,0.7333
Galaxy10_DECals-dataset-07860,1,1,0.6667
Galaxy10_DECals-dataset-08380,2,2,0.7667
Galaxy10_DECals-dataset-08758,2,2,0.9167
Galaxy10_DECals-dataset-08151,2,2,0.9667
Galaxy10_DECals-dataset-09246,2,2,0.7
Galaxy10_DECals-dataset-13204,2,3,0.4333
Galaxy10_DECals-dataset-06053,1,1,0.6
Galaxy10_DECals-dataset-09567,2,2,0.8333
Galaxy10_DECals-dataset-17662,3,3,0.7
Galaxy10_DECals-dataset-00675,0,1,0.5
Galaxy10_DECals-dataset-16959,3,3,0.5667
Galaxy10_DECals-dataset-13189,2,2,0.8333
Galaxy10_DECals-dataset-11453,2,2,0.7333
Galaxy10_DECals-dataset-13208,2,2,0.6
Galaxy10_DECals-dataset-04942,1,1,0.7333
Galaxy10_DECals-dataset-02564,0,0,0.6
Galaxy10_DECals-dataset-03239,1,1,0.4667
Galaxy10_DECals-dataset-16342,3,1,0.3333
Galaxy10_DECals-dataset-16983,3,1,0.5333
Galaxy10_DECals-dataset-08101,2,1,0.3
Galaxy10_DECals-dataset-07750,1,1,0.3667
Galaxy10_DECals-dataset-04369,1,1,0.9333
Galaxy10_DECals-dataset-13787,2,1,0.3667
Galaxy10_DECals-dataset-00920,0,1,0.4
Galaxy10_DECals-dataset-10128,2,2,0.7
Galaxy10_DECals-dataset-13155,2,2,0.6333
Galaxy10_DECals-dataset-16311,3,3,0.8333
Galaxy10_DECals-dataset-17362,3,3,0.6
Galaxy10_DECals-dataset-06209,1,0,0.4333
Galaxy10_DECals-dataset-02135,0,2,0.6667
Galaxy10_DECals-dataset-15764,3,3,0.7333
Galaxy10_DECals-dataset-00400,0,3,0.3667
Galaxy10_DECals-dataset-01758,0,0,0.4667
Galaxy10_DECals-dataset-11617,2,2,0.4
Galaxy10_DECals-dataset-06750,1,1,0.7333
Galaxy10_DECals-dataset-05452,1,1,0.9
Galaxy10_DECals-dataset-15900,3,2,0.3667
Galaxy10_DECals-dataset-09345,2,2,0.9333
Galaxy10_DECals-dataset-02278,0,0,0.4333
Galaxy10_DECals-dataset-08320,2,2,0.9667
Galaxy10_DECals-dataset-00446,0,2,0.3667
Galaxy10_DECals-dataset-00180,0,0,0.4
Galaxy10_DECals-dataset-00603,0,2,0.6667
Galaxy10_DECals-dataset-04758,1,1,0.6333
Galaxy10_DECals-dataset-03175,1,1,0.8667
Galaxy10_DECals-dataset-12911,2,2,0.3333
Galaxy10_DECals-dataset-02790,0,2,0.3333
Galaxy10_DECals-dataset-09098,2,2,0.6667
Galaxy10_DECals-dataset-10836,2,2,0.7667
Galaxy10_DECals-dataset-12150,2,2,0.6667
Galaxy10_DECals-dataset-04125,1,1,0.5
Galaxy10_DECals-dataset-07868,1,3,0.5
Galaxy10_DECals-dataset-06360,1,1,0.7333
