FILENAME,CLASS,LABEL,SCORE
Galaxy10_DECals-dataset-02062,0,2,0.4777
Galaxy10_DECals-dataset-04562,1,1,0.8625
Galaxy10_DECals-dataset-05699,1,1,0.706
Galaxy10_DECals-dataset-04670,1,1,0.7011
Galaxy10_DECals-dataset-14244,2,2,0.65
Galaxy10_DECals-dataset-06422,1,0,0.4863
Galaxy10_DECals-dataset-04858,1,1,0.6113
Galaxy10_DECals-dataset-04098,1,1,0.9604
Galaxy10_DECals-dataset-05744,1,1,0.6691
Galaxy10_DECals-dataset-16355,3,3,0.9667
Galaxy10_DECals-dataset-10866,2,1,0.6526
Galaxy10_DECals-dataset-15739,3,3,0.8667
Galaxy10_DECals-dataset-03913,1,1,0.8161
Galaxy10_DECals-dataset-14490,3,3,1.0
Galaxy10_DECals-dataset-15251,3,3,0.8667
Galaxy10_DECals-dataset-12856,2,0,0.3667
Galaxy10_DECals-dataset-12389,2,3,0.7
Galaxy10_DECals-dataset-06242,1,2,0.4762
Galaxy10_DECals-dataset-06598,1,0,0.3573
Galaxy10_DECals-dataset-08346,2,2,0.7339
Galaxy10_DECals-dataset-03858,1,1,0.9841
Galaxy10_DECals-dataset-11809,2,2,0.5427
Galaxy10_DECals-dataset-05661,1,1,0.692
Galaxy10_DECals-dataset-15129,3,3,0.5797
Galaxy10_DECals-dataset-00484,0,2,0.4027
Galaxy10_DECals-dataset-02100,0,0,0.5436
Galaxy10_DECals-dataset-13096,2,2,0.5163
Galaxy10_DECals-dataset-05982,1,1,0.749
Galaxy10_DECals-dataset-11976,2,3,0.6328
Galaxy10_DECals-dataset-01319,0,0,0.339
Galaxy10_DECals-dataset-03086,1,1,0.9635
Galaxy10_DECals-dataset-05849,1,1,0.6199
Galaxy10_DECals-dataset-04033,1,1,0.9186
Galaxy10_DECals-dataset-09490,2,2,0.5746
Galaxy10_DECals-dataset-13593,2,2,0.7505
Galaxy10_DECals-dataset-11913,2,2,0.6873
Galaxy10_DECals-dataset-15757,3,3,0.7597
Galaxy10_DECals-dataset-02779,0,2,0.4068
Galaxy10_DECals-dataset-15379,3,3,1.0
Galaxy10_DECals-dataset-15685,3,3,1.0
